A109,SUAPCH----
A124,SUAPMF------
A140,SUAPMF------
A148,SUAPMF------
A158,SUAPMF------
A19N,SUAPCF----
A20N,SUAPCF----
A21N,SUAPCF----
A210,SUAPCF----
A225,SUAPMF------
A30B,SUAPCF----
A306,SUAPCF----
A3ST,SUAPCF----
A310,SUAPCF----
A318,SUAPCF----
A319,SUAPCF----
A320,SUAPCF----
A321,SUAPCF----
A332,SUAPCF----
A333,SUAPCF----
A337,SUAPCF----
A338,SUAPCF----
A339,SUAPCF----
A342,SUAPCF----
A343,SUAPCF----
A345,SUAPCF----
A346,SUAPCF----
A359,SUAPCF----
A35K,SUAPCF----
A388,SUAPCF----
A400,SUAPCF----
A5,SUAPCF----
A748,SUAPCF----
AC68,SUAPCF----
AC90,SUAPCF----
AJ27,SUAPCF----
AN12,SUAPMF------
AN24,SUAPMF------
AN26,SUAPMF------
AN28,SUAPMF------
AN30,SUAPMF------
AN32,SUAPMF------
AN72,SUAPMF------
AP22,SUAPCF----
AS32,SUAPCH----
AS50,SUAPCH----
AT43,SUAPCF----
AT45,SUAPCF----
AT46,SUAPCF----
AT72,SUAPCF----
AT73,SUAPCF----
AT75,SUAPCF----
AT76,SUAPCF----
ATL,SUAPCF----
ATP,SUAPCF----
B105,SUAPCH----
B190,SUAPCF----
B212,SUAPCH----
B412,SUAPCH----
B429,SUAPCH----
B37M,SUAPCF----
B38M,SUAPCF----
B39M,SUAPCF----
B3XM,SUAPCF----
B461,SUAPCF----
B462,SUAPCF----
B463,SUAPCF----
B703,SUAPCF----
B712,SUAPCF----
B720,SUAPCF----
B721,SUAPCF----
B722,SUAPCF----
B732,SUAPCF----
B733,SUAPCF----
B734,SUAPCF----
B735,SUAPCF----
B736,SUAPCF----
B737,SUAPCF----
B738,SUAPCF----
B739,SUAPCF----
B741,SUAPCF----
B742,SUAPCF----
B743,SUAPCF----
B744,SUAPCF----
B748,SUAPCF----
B74R,SUAPCF----
B74S,SUAPCF----
B752,SUAPCF----
B753,SUAPCF----
B762,SUAPCF----
B763,SUAPCF----
B764,SUAPCF----
B772,SUAPCF----
B77L,SUAPCF----
B773,SUAPCF----
B77W,SUAPCF----
B778,SUAPCF----
B779,SUAPCF----
B788,SUAPCF----
B789,SUAPCF----
B78X,SUAPCF----
BA11,SUAPCF----
BCS1,SUAPCF----
BCS3,SUAPCF----
BE20,SUAPCF----
BE40,SUAPCF----
BE55,SUAPCF----
BE58,SUAPCF----
BE76,SUAPCF----
BELF,SUAPCF----
BER2,SUAPCF----
BL8,SUAPCF----
BLCF,SUAPCF----
BN2P,SUAPCF----
C130,SFAPMFCH--
C152,SUAPCF----
C162,SUAPCF----
C172,SUAPCF----
C72R,SUAPCF----
C77R,SUAPCF----
C182,SUAPCF----
C206,SUAPCF----
C208,SUAPCF----
C210,SUAPCF----
C212,SUAPCF----
C25A,SUAPCF----
C25B,SUAPCF----
C25C,SUAPCF----
C30J,SFAPMFCH--
C310,SUAPCF----
C42,SUAPCF----
C46,SUAPCF----
C500,SUAPCF----
C510,SUAPCF----
C525,SUAPCF----
C550,SUAPCF----
C560,SUAPCF----
C56X,SUAPCF----
C650,SUAPCF----
C680,SUAPCF----
C750,SUAPCF----
C919,SUAPCF----
CH7A,SUAPCF----
CH7B,SUAPCF----
CL2T,SUAPCF----
CL30,SUAPCF----
CL60,SUAPCF----
CN35,SUAPCF----
CONC,SUAPCF----
CONI,SUAPCF----
CRJ1,SUAPCF----
CRJ2,SUAPCF----
CRJ7,SUAPCF----
CRJ9,SUAPCF----
CRJX,SUAPCF----
CRUZ,SUAPCF----
CVLP,SUAPCF----
CVLT,SUAPCF----
D228,SUAPCF----
